,e,feat
297,202,"6.135409022955628, 4.758442658055856, 2.7, 1.0368852459016393"
6632,203,"5.285168148083244, 6.086563054177077, 0.0, 1.0"
8301,204,"4.770631322742247, 5.5253813723159055, 4.3, 2.132903981264637"
2727,205,"6.054424346955102, 4.5571069923644245, 0.0, 1.0"
6636,206,"6.054424346955102, 4.557106170854468, 0.0, 1.0"
2729,207,"6.067336224334554, 3.9590994826678525, 5.0, 1.0052693208430914"
6640,208,"4.125174370866148, 5.6301920799865, 4.8, 1.1370023419203747"
4816,209,"5.892802645317602, 4.988719298803062, 0.0, 1.0"
6643,210,"4.916202769059112, 5.557228849677813, 0.0, 1.0"
8313,211,"5.519995253540742, 6.970295842173755, 3.6, 1.0737704918032787"
2740,212,"5.183035138482751, 6.969452972935187, 5.0, 1.1211943793911008"
6648,213,"6.923381193464593, 5.285894783192589, 4.7, 1.1580796252927401"
8316,214,"6.036601312895925, 4.92073113292804, 5.0, 1.0368852459016393"
4823,215,"3.9347393594583195, 6.692236894999041, 0.0, 1.0"
6650,216,"5.262661358781031, 7.253141727996763, 2.0, 1.063231850117096"
305,217,"6.06670283394584, 3.970033780490212, 4.4, 1.4795081967213115"
8318,218,"4.957885095205086, 5.621790497429856, 4.4, 1.7060889929742389"
2744,219,"7.7845980570471625, 5.153773797775102, 4.7, 1.7535128805620608"
4827,220,"4.953440647233094, 5.621345239021139, 4.4, 2.4859484777517564"
307,221,"1.7658761324930197, 6.712621843621719, 2.5, 1.0105386416861826"
6653,222,"6.20770601161297, 5.902246610723751, 0.0, 1.0"
4829,223,"5.399052216211601, 5.365943537071644, 4.2, 7.623536299765807"
6655,224,"5.330403175206698, 4.769706381380047, 0.0, 1.0"
2747,225,"4.91247862406658, 6.902428438265815, 0.0, 1.0"
6656,226,"5.4675917235400675, 5.217848290109259, 4.4, 1.3899297423887589"
8323,227,"4.189171802380713, 2.9065398218747305, 3.6, 1.0843091334894615"
4832,228,"6.763433452140362, 4.934406809551092, 3.4, 1.4953161592505855"
8324,229,"5.2559559928612885, 5.52387472301416, 5.0, 1.0105386416861826"
6657,230,"4.802223454255795, 6.911264599601509, 0.0, 1.0"
318,231,"4.579551015111349, 4.235956560743034, 5.0, 1.0105386416861826"
4835,232,"5.41572514667007, 4.825300426199419, 0.0, 1.0"
324,233,"5.7910875305037735, 6.411804605494581, 2.6, 1.0263466042154568"
8330,234,"5.137182198555308, 7.104145284587503, 0.0, 1.0"
2759,235,"2.59707124411608, 7.826031570080886, 3.4, 1.4689695550351287"
326,236,"5.490806909987612, 6.9840824226437235, 4.4, 1.07903981264637"
2760,237,"4.307650331994239, 6.8468401440161415, 5.0, 1.0579625292740047"
356,238,"6.014139765764696, 7.359731826282314, 0.0, 1.0"
6666,239,"5.9819904412025835, 4.9836670124311695, 4.8, 2.4543325526932085"
2766,240,"5.392271843535127, 5.2974936825883105, 4.3, 1.990632318501171"
2767,241,"6.193759517226397, 6.401718105970303, 5.0, 1.1475409836065573"
2768,242,"6.367290624988868, 5.015420837655483, 4.3, 1.7324355971896956"
8334,243,"6.089791818548747, 4.009010321451569, 0.0, 1.0"
363,244,"4.021168573518423, 5.641460732370888, 0.0, 1.0"
2774,245,"4.385191840693608, 6.852573462160763, 3.0, 1.0052693208430914"
6673,246,"5.838221538210121, 7.039052119878988, 4.8, 1.7587822014051522"
4863,247,"6.507759230692557, 6.352562234857487, 0.0, 1.0"
4864,248,"6.0696161916172855, 6.189544259123977, 5.0, 1.3688524590163933"
366,249,"5.906622937859936, 6.729387219276305, 4.2, 1.173887587822014"
4865,250,"6.658726401148215, 6.151490273869513, 3.1, 1.1633489461358313"
2779,251,"6.2016899935034075, 6.361063220121878, 4.0, 1.110655737704918"
8346,252,"5.371573550474693, 5.525419161775062, 4.1, 1.2476580796252927"
6680,253,"5.544580801524603, 5.592151238891802, 3.3, 1.063231850117096"
6681,254,"5.074734906676156, 5.727255127043691, 5.0, 1.0052693208430914"
4868,255,"5.074734906676156, 5.727255127043691, 4.6, 1.0474238875878221"
8350,256,"5.074734906676156, 5.727255127043691, 4.8, 1.4057377049180328"
2783,257,"6.288213263655109, 5.892334271315349, 3.6, 1.268735362997658"
369,258,"6.135409022955628, 4.758442658055856, 2.7, 1.0368852459016393"
6687,259,"4.666898169001854, 5.928852032908708, 4.1, 1.0895784543325526"
8354,260,"1.6648277444041355, 7.968278487501493, 1.5, 1.0105386416861826"
8357,261,"4.644679500891641, 5.925842020344817, 0.0, 1.0"
370,262,"7.945919731658421, 5.08766606824247, 0.0, 1.0"
8358,263,"7.784113489588094, 5.154442506898022, 4.7, 2.1855971896955504"
371,264,"4.373272909901061, 7.472988478048592, 0.0, 1.0"
8359,266,"5.218158540471734, 5.425154690329009, 5.0, 1.1317330210772834"
376,267,"3.5750486254120233, 5.829230803776227, 5.0, 1.173887587822014"
8364,268,"5.602806284534324, 4.271389929163888, 0.0, 1.0"
2793,269,"4.605091411012154, 7.6035789903751265, 4.7, 1.07903981264637"
8365,270,"5.933712282812849, 6.1487571101688445, 0.0, 1.0"
8366,271,"4.945336345774081, 5.623319327501122, 0.0, 1.0"
4883,272,"4.0272703136354835, 7.770186143207866, 0.0, 1.0"
4884,273,"5.975408895960186, 3.8019807700945876, 4.5, 3.571428571428571"
8368,274,"6.093142120341838, 5.374621968491283, 1.6, 1.1001170960187354"
380,275,"7.803240212511184, 5.087202736614017, 3.4, 1.5901639344262295"
381,276,"6.855045275903876, 5.653766951858415, 4.7, 1.1528103044496487"
2798,277,"3.1857373660246253, 5.937163249367586, 5.0, 1.0105386416861826"
2799,278,"4.333333597907483, 2.871175460292079, 2.7, 1.6428571428571428"
6703,279,"4.816275910568265, 7.511101612021548, 3.6, 1.2160421545667448"
383,280,"5.602806284534324, 4.271389929163888, 0.0, 1.0"
2808,281,"5.509343103525623, 6.439882995071912, 0.0, 1.0"
8374,282,"5.185412733607336, 6.601787824783969, 3.3, 4.082552693208431"
2814,283,"3.968137606046298, 6.9867777968854625, 4.6, 2.902224824355972"
8375,284,"4.784676635554149, 5.354050537103376, 4.7, 1.4742388758782201"
4909,285,"5.602806284534324, 4.271389929163888, 0.0, 1.0"
8377,286,"5.92450669167431, 5.043858227094006, 4.2, 1.0526932084309133"
8378,287,"5.706810891298687, 6.601588197859201, 0.0, 1.0"
8381,288,"4.0479995618653675, 6.803297650591048, 3.0, 1.015807962529274"
8382,289,"5.408535213291088, 5.283637273769955, 0.0, 1.0"
6717,290,"5.022178981995637, 5.377190830196014, 4.4, 1.4637002341920375"
396,291,"7.462341647441974, 5.7493570315230045, 0.0, 1.0"
2822,292,"3.9698318062778526, 6.644219636717253, 0.0, 1.0"
6718,293,"5.4378247564364415, 6.13393131957514, 4.1, 1.1633489461358313"
401,294,"4.9531477637073635, 7.272058638286808, 4.7, 2.0064402810304447"
8391,295,"5.602806284534324, 4.271389929163888, 0.0, 1.0"
2833,296,"6.262178775627774, 4.068264193227833, 3.1, 1.690281030444965"
6724,297,"4.389108860202896, 3.457014764177302, 2.5, 1.7903981264637001"
2834,298,"1.2648298080821974, 6.805123045764731, 3.4, 1.1211943793911008"
407,299,"2.068537919884193, 9.639289755332356, 4.5, 1.4057377049180328"
8393,300,"5.810473800616194, 4.984726760304284, 0.0, 1.0"
6730,301,"3.7680302947924815, 5.67797027886445, 4.9, 1.4057377049180328"
2838,302,"3.4247219888459313, 6.132086208162036, 4.4, 1.9168618266978923"
409,303,"6.113753500811413, 5.990973796022217, 4.0, 1.1633489461358313"
4926,304,"9.121662546586492, 2.294548569313065, 5.0, 1.0052693208430914"
4927,305,"6.7853639990586885, 6.256223759602108, 3.7, 1.031615925058548"
4928,306,"5.18471386112958, 6.9552022393265815, 0.0, 1.0"
412,307,"5.010661277821498, 7.525103428106149, 3.9, 1.5585480093676813"
420,308,"6.498285758280645, 5.140662498507709, 4.9, 1.5322014051522248"
421,309,"5.707160922829246, 6.601054216372631, 4.3, 2.317330210772834"
2860,310,"7.13855414753624, 5.757508875046142, 5.0, 1.0052693208430914"
422,311,"6.522917739018567, 6.465534644171157, 0.0, 1.0"
2861,312,"4.37532904749753, 3.503210734835193, 4.5, 2.159250585480094"
4932,313,"3.804641926078375, 7.639373823187043, 3.5, 1.1001170960187354"
2863,314,"7.215101519065456, 9.995989388281714, 2.7, 1.0579625292740047"
2864,316,"6.0620262222034285, 5.375841089300366, 4.3, 1.1001170960187354"
4934,318,"5.472479068551081, 7.973544366467877, 0.0, 1.0"
4935,319,"5.519772614438068, 5.744248882472448, 5.0, 1.0052693208430914"
8400,320,"5.303873404469471, 5.439777567958117, 0.0, 1.0"
2868,321,"5.456891950187639, 5.083000713070533, 3.4, 1.2160421545667448"
4936,322,"3.7469343468638385, 7.404704568581337, 0.0, 1.0"
2870,323,"7.140843639486434, 6.071724119423379, 0.0, 1.0"
2871,324,"4.720783975382005, 2.92749818446282, 2.3, 1.094847775175644"
6737,325,"5.602806284534324, 4.271389929163888, 0.0, 1.0"
4939,326,"3.8823501164590084, 7.713001655068865, 3.3, 1.4847775175644027"
4940,327,"3.8843455343001665, 7.713110094385911, 0.0, 1.0"
430,328,"3.8082339163091774, 5.679214866482653, 0.0, 1.0"
8406,329,"6.0620262222034285, 5.375841089300366, 4.3, 1.1001170960187354"
435,330,"5.569068721666667, 4.321083067803102, 4.3, 1.0579625292740047"
4948,331,"5.13572492442762, 7.10032033412449, 4.1, 1.205503512880562"
8407,332,"5.256542950495998, 5.7190170249728, 0.0, 1.0"
2884,333,"6.561315245460662, 6.239269436652421, 3.0, 1.0105386416861826"
6752,334,"5.0079967520883315, 5.272715298597177, 4.3, 1.7745901639344261"
4964,335,"3.193788091228839, 6.182519527292243, 0.0, 1.0"
8413,336,"4.368296271132408, 5.785534687985091, 4.7, 1.205503512880562"
2888,337,"5.552832735329844, 5.607901228212086, 1.0, 1.0052693208430914"
2889,338,"4.803850981814719, 7.521418134339683, 0.0, 1.0"
6759,340,"5.0219087195554835, 5.304006613702995, 4.3, 3.192037470725995"
4970,341,"5.78519771423862, 6.023624710143849, 4.6, 1.7798594847775175"
441,342,"6.690437591005264, 3.4442246753119434, 4.4, 1.2160421545667448"
2892,343,"5.195693421590022, 7.354898061565109, 0.0, 1.0"
6762,345,"6.861618487062174, 2.174234325315865, 2.6, 1.0263466042154568"
452,346,"6.020122447537972, 3.7925498355336913, 0.0, 1.0"
2896,347,"1.1877300058380342, 7.013316676762088, 4.7, 1.5427400468384076"
460,348,"6.3216627053309935, 4.099763350358671, 1.7, 1.015807962529274"
461,349,"3.8082339163091774, 5.679214866482653, 0.0, 1.0"
465,350,"6.877404432859635, 7.010150577302511, 0.0, 1.0"
2906,351,"7.117959435234866, 5.776311595449215, 0.0, 1.0"
2907,352,"3.3069828115471296, 7.181529881604092, 2.6, 1.5638173302107727"
492,353,"5.487623289875785, 4.711829360328693, 3.0, 1.0052693208430914"
6771,354,"5.495351366968407, 4.712441385262991, 4.8, 2.0327868852459017"
6772,355,"5.254001054856985, 7.657534122786046, 0.0, 1.0"
6776,356,"5.602806284534324, 4.271389929163888, 0.0, 1.0"
8424,357,"3.2961199282634652, 7.428676229772918, 5.0, 1.0105386416861826"
2917,358,"6.9115170295102075, 5.021601878738693, 4.7, 1.0737704918032787"
494,359,"5.538437390987269, 5.315787066803978, 3.5, 1.0105386416861826"
4984,360,"4.640163617913288, 6.303440867164227, 4.7, 1.8641686182669788"
6780,361,"3.881488134050244, 6.5367078042352205, 5.0, 1.0105386416861826"
8429,362,"3.776802513559801, 5.9657863000613816, 0.0, 1.0"
500,363,"6.182579938748631, 5.696505187014054, 3.3, 5.062646370023419"
2934,364,"4.635177454477059, 6.310339907969137, 4.9, 1.173887587822014"
2942,365,"5.42281030870646, 4.635592412752885, 4.9, 1.4847775175644027"
2943,366,"6.668054622380737, 3.557503507847514, 2.6, 1.3266978922716628"
505,367,"6.668054622380737, 3.557503507847514, 4.7, 1.7218969555035128"
515,368,"5.83304726259081, 6.349887398365354, 4.2, 1.0685011709601873"
6790,369,"4.941732449708809, 5.346904221794375, 4.7, 1.063231850117096"
6791,370,"5.483144314983974, 5.237338614364489, 0.0, 1.0"
2946,371,"7.0728089395354345, 5.899470728504184, 4.9, 2.781030444964871"
2951,372,"5.8792002295444945, 6.734962807504644, 5.0, 1.0052693208430914"
2952,373,"5.378889685697914, 5.524482640398901, 2.3, 1.094847775175644"
524,374,"1.215193193990217, 7.266744290231827, 4.3, 1.3846604215456675"
6794,375,"5.715470004639371, 6.130340499456224, 5.0, 1.0105386416861826"
2954,376,"4.513681986432971, 5.944088578492028, 0.0, 1.0"
5005,377,"3.4084169486696396, 7.230474624652061, 2.1, 1.0526932084309133"
528,378,"3.2210429272797114, 6.172241615942994, 3.8, 1.0421545667447307"
2956,379,"4.4608165100587485, 5.7471373115593, 2.3, 1.015807962529274"
8444,380,"6.152928458238307, 4.734406097575629, 4.0, 1.1686182669789227"
8445,381,"5.218068056130505, 5.424983816253416, 4.7, 1.015807962529274"
6798,382,"5.403949085889906, 5.259801161724681, 4.1, 1.0737704918032787"
8447,383,"4.387777787919845, 6.850922227102501, 0.0, 1.0"
6799,384,"4.707077978849725, 5.665705134875452, 0.0, 1.0"
5016,385,"5.565512448938932, 6.987601771394566, 4.6, 1.6692037470725996"
537,386,"5.297349007231958, 6.814622987163602, 4.8, 2.1065573770491803"
