,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
11741,Newport,82 Charlotte St,3,h,880000.0,S,Sweeney,7/05/2016,8.4,3015.0,3.0,1.0,1.0,557.0,111.0,1950.0,Hobsons Bay,-37.834,144.8668,Western Metropolitan,5498.0
11742,Fitzroy North,50 Church St,2,h,1385000.0,SP,Jellis,26/08/2017,3.6,3068.0,2.0,1.0,0.0,176.0,80.0,1890.0,,-37.78852,144.97871999999995,Northern Metropolitan,6244.0
11743,Thomastown,167 Victoria Dr,3,h,740000.0,S,Harcourts,3/06/2017,15.3,3074.0,3.0,2.0,2.0,545.0,152.0,1983.0,Whittlesea,-37.68403,144.99246000000005,Northern Metropolitan,7955.0
11744,Brunswick East,310/330 Lygon St,2,u,445000.0,S,Jellis,27/06/2016,4.5,3057.0,2.0,1.0,1.0,0.0,,,Moreland,-37.7685,144.9724,Northern Metropolitan,5533.0
11745,Avondale Heights,31 Duke St,3,h,750000.0,S,Barry,8/10/2016,10.5,3034.0,3.0,1.0,1.0,529.0,,,Moonee Valley,-37.7721,144.8576,Western Metropolitan,4502.0
11746,Montmorency,35 Astley St,3,h,900000.0,S,Barry,27/05/2017,16.2,3094.0,3.0,1.0,1.0,575.0,138.0,1980.0,Banyule,-37.72089,145.11987,Eastern Metropolitan,3891.0
11747,Bentleigh East,18 May St,3,h,1550000.0,S,Paul,10/12/2016,13.9,3165.0,3.0,1.0,1.0,581.0,,,Glen Eira,-37.9177,145.0535,Southern Metropolitan,10969.0
11748,Caulfield,3/1015 Glen Huntly Rd,2,u,535000.0,S,Biggin,6/05/2017,8.9,3162.0,2.0,1.0,1.0,0.0,,,Glen Eira,-37.8883,145.0342,Southern Metropolitan,2379.0
11749,Malvern,67 Wheatland Rd,4,h,2400000.0,VB,Marshall,6/08/2016,7.4,3144.0,4.0,2.0,2.0,586.0,195.0,1890.0,Stonnington,-37.866,145.039,Southern Metropolitan,4675.0
11750,Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,26/07/2016,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0
11751,Carnegie,215 Neerim Rd,3,h,950000.0,VB,Gary,14/05/2016,11.4,3163.0,3.0,1.0,1.0,586.0,,,Glen Eira,-37.88800000000001,145.0505,Southern Metropolitan,7822.0
11752,Hawthorn East,38 Caroline St,3,h,1538000.0,S,Jellis,18/06/2016,7.5,3123.0,2.0,1.0,2.0,287.0,,,Boroondara,-37.8292,145.046,Southern Metropolitan,6482.0
11753,Essendon,1/19 Cameron Rd,2,u,691000.0,SP,Brad,25/02/2017,8.0,3040.0,2.0,1.0,1.0,201.0,80.0,1995.0,Moonee Valley,-37.7454,144.928,Western Metropolitan,9264.0
11754,Thornbury,10 Speight St,3,h,1200000.0,S,Woodards,20/05/2017,6.5,3071.0,3.0,1.0,1.0,447.0,,,Darebin,-37.7622,145.0074,Northern Metropolitan,8870.0
11755,Richmond,27/16 Goodwood St,2,t,810000.0,SP,hockingstuart,18/06/2016,2.6,3121.0,2.0,1.0,1.0,94.0,,,Yarra,-37.8201,144.9927,Northern Metropolitan,14949.0
11756,Doncaster,5 Arnold Gr,4,h,1868000.0,S,hockingstuart,7/05/2016,13.9,3108.0,3.0,2.0,2.0,925.0,218.0,1960.0,Manningham,-37.7869,145.1183,Eastern Metropolitan,9028.0
11757,Brighton,23a Chelsea St,3,u,1352500.0,S,hockingstuart,28/08/2016,11.2,3186.0,2.0,2.0,1.0,280.0,110.0,1993.0,Bayside,-37.91,144.989,Southern Metropolitan,10579.0
11758,Brighton,36/568 New St,1,u,380000.0,VB,Chisholm,1/07/2017,10.5,3186.0,1.0,1.0,1.0,1993.0,46.0,2000.0,Bayside,-37.88468,144.99722,Southern Metropolitan,10579.0
11759,Fitzroy North,44 Reid St,4,t,1700000.0,VB,Jellis,18/03/2017,3.5,3068.0,4.0,3.0,2.0,127.0,209.0,2008.0,Yarra,-37.7855,144.9789,Northern Metropolitan,6244.0
11760,Glenroy,139 John St,3,h,765500.0,S,Barry,18/06/2016,13.0,3046.0,3.0,2.0,2.0,780.0,180.0,1970.0,Moreland,-37.6955,144.9389,Northern Metropolitan,8870.0
11761,Maidstone,18 Pullar St,2,h,472500.0,S,Burnham,20/05/2017,9.2,3012.0,2.0,1.0,0.0,315.0,89.0,1990.0,Maribyrnong,-37.7835,144.8723,Western Metropolitan,3873.0
11762,Doncaster East,40 Saxonwood Dr,3,h,1408000.0,S,Jellis,19/08/2017,14.3,3109.0,3.0,1.0,2.0,656.0,,,,-37.78081,145.15861,Eastern Metropolitan,10999.0
11763,Ferntree Gully,42 Bryden Dr,4,h,850000.0,S,Noel,15/07/2017,24.8,3156.0,4.0,2.0,1.0,738.0,148.0,1985.0,Knox,-37.89863,145.26708,Eastern Metropolitan,10788.0
11764,Templestowe Lower,51 Jeffrey St,3,h,1245000.0,S,Barry,29/07/2017,12.4,3107.0,3.0,2.0,2.0,779.0,135.0,1970.0,Manningham,-37.76311,145.10494,Eastern Metropolitan,5420.0
11765,Middle Park,33 Nimmo St,2,h,1920000.0,S,Marshall,25/02/2017,4.1,3206.0,2.0,1.0,0.0,152.0,82.0,1910.0,Port Phillip,-37.8498,144.9628,Southern Metropolitan,2019.0
11766,Reservoir,5 Edgar St,5,h,1266000.0,S,Nelson,3/06/2017,12.0,3073.0,5.0,2.0,2.0,601.0,,1990.0,Darebin,-37.7296,145.00714,Northern Metropolitan,21650.0
11767,Thornbury,10 Ethel St,3,h,898000.0,S,hockingstuart,16/04/2016,6.5,3071.0,3.0,2.0,2.0,210.0,108.0,2010.0,Darebin,-37.7551,144.9993,Northern Metropolitan,8870.0
11768,Newport,65 Alma Tce,2,h,890000.0,SP,Williams,25/02/2017,8.4,3015.0,2.0,1.0,0.0,168.0,90.0,1900.0,Hobsons Bay,-37.8475,144.8897,Western Metropolitan,5498.0
11769,Williamstown,98 Osborne St,3,h,1460000.0,S,Greg,7/05/2016,8.0,3016.0,3.0,1.0,2.0,373.0,107.0,1970.0,Hobsons Bay,-37.8661,144.8973,Western Metropolitan,6380.0
11770,Camberwell,13 Grace St,3,h,1622000.0,SP,Noel,12/11/2016,7.8,3124.0,3.0,1.0,1.0,544.0,160.0,1930.0,Boroondara,-37.8436,145.0581,Southern Metropolitan,8920.0
11771,Bentleigh East,54 Elizabeth St,3,h,1197000.0,S,Buxton,22/05/2016,13.9,3165.0,3.0,1.0,2.0,692.0,147.0,1949.0,Glen Eira,-37.9232,145.0563,Southern Metropolitan,10969.0
11772,Williamstown,2/20 Victoria St,3,u,890000.0,S,Gunn&Co,3/12/2016,8.0,3016.0,3.0,1.0,3.0,0.0,111.0,1980.0,Hobsons Bay,-37.8663,144.8883,Western Metropolitan,6380.0
11773,Oakleigh South,9 Telopea Ct,4,h,800000.0,PI,Woodards,18/06/2016,14.7,3167.0,4.0,2.0,2.0,558.0,,,Kingston,-37.9393,145.0962,South-Eastern Metropolitan,3692.0
11774,Footscray,1/30 Pickett St,2,u,305000.0,PI,Burnham,4/03/2017,6.4,3011.0,2.0,1.0,1.0,47.0,35.0,2013.0,Maribyrnong,-37.8014,144.8959,Western Metropolitan,7570.0
11775,Melbourne,928/43 Therry St,1,u,210000.0,VB,Greg,13/08/2016,2.8,3000.0,1.0,1.0,0.0,0.0,,,Melbourne,-37.8078,144.961,Northern Metropolitan,17496.0
11776,Moonee Ponds,109 Waverley St,4,h,1515000.0,S,Nelson,8/04/2017,6.9,3039.0,4.0,2.0,3.0,574.0,203.0,1910.0,Moonee Valley,-37.7644,144.9061,Western Metropolitan,6232.0
11777,Canterbury,29 Rubens Gr,4,h,3800000.0,PI,Marshall,11/02/2017,9.0,3126.0,4.0,1.0,1.0,858.0,,,Boroondara,-37.8183,145.0667,Southern Metropolitan,3265.0
11778,Keilor East,28 Nyah St,3,t,777000.0,S,Brad,22/07/2017,11.7,3033.0,3.0,2.0,1.0,300.0,,1950.0,Moonee Valley,-37.73421,144.86831999999995,Western Metropolitan,5629.0
11779,South Yarra,7/48 Cromwell Rd,1,u,410000.0,S,hockingstuart,24/09/2016,3.3,3141.0,1.0,1.0,0.0,0.0,48.0,1960.0,Stonnington,-37.8427,145.0006,Southern Metropolitan,14887.0
11780,Essendon,38 Alfred Rd,3,h,1290000.0,S,Nelson,28/08/2016,8.0,3040.0,3.0,1.0,1.0,618.0,132.0,1960.0,Moonee Valley,-37.7442,144.9249,Western Metropolitan,9264.0
11781,Brighton,2 View Ct,2,h,1910000.0,S,Hodges,7/05/2016,11.2,3186.0,2.0,2.0,4.0,696.0,,,Bayside,-37.9249,144.9903,Southern Metropolitan,10579.0
11782,Brighton,15 Gould St,3,h,2400000.0,S,Marshall,10/09/2016,11.2,3186.0,3.0,2.0,2.0,835.0,,1910.0,Bayside,-37.9225,144.991,Southern Metropolitan,10579.0
11783,Bulleen,135 Manningham Rd,4,h,1085000.0,PI,Barry,10/12/2016,11.8,3105.0,4.0,2.0,1.0,1124.0,225.0,1960.0,Manningham,-37.7679,145.0958,Eastern Metropolitan,4480.0
11784,Middle Park,26 Canterbury Rd,3,h,1420000.0,S,RT,8/04/2017,4.1,3206.0,3.0,1.0,0.0,112.0,,,Port Phillip,-37.8447,144.9604,Southern Metropolitan,2019.0
11785,Newport,74 Alma Tce,4,h,2337000.0,S,Williams,29/04/2017,8.4,3015.0,4.0,2.0,3.0,580.0,222.0,1890.0,Hobsons Bay,-37.8477,144.8903,Western Metropolitan,5498.0
11786,Brunswick,5/185 Brunswick Rd,4,t,860000.0,PI,Nelson,7/05/2016,5.2,3056.0,4.0,2.0,1.0,95.0,97.0,,Moreland,-37.7772,144.9653,Northern Metropolitan,11918.0
11787,Armadale,40 New St,2,h,1210000.0,S,Marshall,12/11/2016,6.3,3143.0,2.0,1.0,0.0,249.0,96.0,1910.0,Stonnington,-37.8543,145.016,Southern Metropolitan,4836.0
11788,Fawkner,13A Queens Pde,3,t,577000.0,S,Brad,27/05/2017,13.1,3060.0,3.0,1.0,1.0,164.0,,2003.0,Moreland,-37.71976,144.97121,Northern Metropolitan,5070.0
11789,Canterbury,55 Warburton Rd,3,h,1385000.0,S,Jellis,18/06/2016,9.0,3126.0,2.0,1.0,1.0,444.0,,1910.0,Boroondara,-37.826,145.0734,Southern Metropolitan,3265.0
11790,Northcote,30 Clarke St,3,h,1200000.0,S,Nelson,3/09/2016,5.5,3070.0,3.0,1.0,1.0,215.0,125.0,1920.0,Darebin,-37.7759,144.9909,Northern Metropolitan,11364.0
11791,Albert Park,10/140 Kerferd Rd,2,u,647000.0,S,Greg,22/05/2016,3.3,3206.0,2.0,1.0,1.0,0.0,,,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280.0
11792,Coburg North,23 Goleen St,3,h,782000.0,S,Barry,11/03/2017,9.2,3058.0,3.0,1.0,3.0,576.0,,,Moreland,-37.7269,144.9654,Northern Metropolitan,3445.0
11793,Vermont,25 Caldwell Rd,3,h,865000.0,SA,Philip,12/08/2017,17.2,3133.0,3.0,1.0,2.0,603.0,,,Whitehorse,-37.835,145.21086,Eastern Metropolitan,4181.0
11794,Toorak,4/5 Selwyn Ct,3,u,922500.0,S,Rodney,29/04/2017,4.6,3142.0,3.0,1.0,2.0,4657.0,,1980.0,Stonnington,-37.8421,145.0237,Southern Metropolitan,7217.0
11795,Brunswick West,81 Melville Rd,3,h,793000.0,S,Ray,10/12/2016,5.9,3055.0,3.0,1.0,0.0,275.0,119.0,1935.0,Moreland,-37.76300000000001,144.9439,Northern Metropolitan,7082.0
11796,Hoppers Crossing,46 Bourke Cr,3,h,520000.0,S,LJ,22/07/2017,18.4,3029.0,3.0,1.0,0.0,609.0,109.0,1986.0,Wyndham,-37.86991,144.68607,Western Metropolitan,13830.0
11797,Sunshine West,1/41 Bardsley St,3,u,518000.0,S,HAR,24/06/2017,10.5,3020.0,3.0,1.0,1.0,322.0,,,Brimbank,-37.79209,144.82023999999996,Western Metropolitan,6763.0
11798,Williamstown,11 Sandpiper Pl,4,h,2440000.0,S,Sweeney,27/11/2016,8.0,3016.0,4.0,3.0,3.0,500.0,278.0,2005.0,Hobsons Bay,-37.8638,144.8798,Western Metropolitan,6380.0
11799,Hampton,4 Brand St,4,t,1910000.0,S,Buxton,13/05/2017,13.7,3188.0,4.0,2.0,2.0,351.0,,,Bayside,-37.9449,145.0167,Southern Metropolitan,5454.0
11800,Prahran,10/37 Greville St,1,u,325000.0,VB,Biggin,6/08/2016,4.5,3181.0,1.0,1.0,1.0,0.0,,,Stonnington,-37.8486,144.9872,Southern Metropolitan,7717.0
11801,Coburg,133 Rennie St,2,h,645000.0,SP,Jellis,30/07/2016,7.8,3058.0,2.0,1.0,1.0,702.0,,,Moreland,-37.7517,144.9795,Northern Metropolitan,11204.0
11802,Ashburton,5 Taylor St,4,h,1860000.0,S,Jellis,27/11/2016,11.0,3147.0,4.0,2.0,3.0,696.0,274.0,2000.0,Boroondara,-37.8711,145.0746,Southern Metropolitan,3052.0
11803,Kew East,7 Riverside Dr,3,h,2260000.0,S,Jellis,3/06/2017,7.3,3102.0,3.0,2.0,4.0,753.0,280.0,1937.0,Boroondara,-37.79017,145.06381000000005,Southern Metropolitan,2671.0
11804,Hampton,2/95 Thomas St,3,t,1100000.0,S,Hodges,24/09/2016,13.7,3188.0,3.0,2.0,1.0,355.0,140.0,1987.0,Bayside,-37.9391,145.012,Southern Metropolitan,5454.0
11805,Richmond,77 Buckingham St,3,h,1182000.0,S,Biggin,14/05/2016,2.6,3121.0,3.0,1.0,1.0,199.0,110.0,1920.0,Yarra,-37.8139,145.0039,Northern Metropolitan,14949.0
11806,Kensington,51 Gatehouse Dr,3,h,1000000.0,SP,Nelson,19/11/2016,4.2,3031.0,3.0,2.0,2.0,211.0,132.0,1997.0,Melbourne,-37.7926,144.9197,Northern Metropolitan,5263.0
11807,Surrey Hills,16 Banool Rd,3,h,1960000.0,S,Marshall,10/12/2016,11.2,3127.0,3.0,2.0,2.0,585.0,173.0,1930.0,Boroondara,-37.8167,145.0924,Southern Metropolitan,5457.0
11808,Werribee,8 Centenary Cr,3,h,383000.0,S,Greg,22/07/2017,14.7,3030.0,3.0,1.0,2.0,548.0,95.0,1960.0,Wyndham,-37.8889,144.65743999999995,Western Metropolitan,16166.0
11809,Moonee Ponds,22/122 Maribyrnong Rd,2,u,440000.0,VB,Barry,18/03/2017,6.9,3039.0,2.0,1.0,1.0,0.0,,,Moonee Valley,-37.7715,144.9155,Western Metropolitan,6232.0
11810,Doncaster,34 Council St,4,h,1480000.0,S,Philip,8/04/2017,13.9,3108.0,4.0,2.0,2.0,656.0,,1965.0,Manningham,-37.7833,145.1302,Eastern Metropolitan,9028.0
11811,Thornbury,146 Rossmoyne St,3,h,1200000.0,VB,Nelson,17/09/2016,6.5,3071.0,3.0,2.0,1.0,345.0,345.0,1905.0,Darebin,-37.7582,145.0094,Northern Metropolitan,8870.0
11812,Gladstone Park,1/96 Carrick Dr,3,h,452500.0,S,Barry,12/08/2017,12.9,3043.0,3.0,1.0,0.0,259.0,,1970.0,Hume,-37.6974,144.8916,Western Metropolitan,3285.0
11813,Glenroy,101 Evell St,3,h,690000.0,SP,YPA,13/05/2017,13.0,3046.0,3.0,1.0,2.0,650.0,,,Moreland,-37.699,144.9421,Northern Metropolitan,8870.0
11814,Carnegie,10 Parton Ct,4,h,1455000.0,SP,Woodards,3/06/2017,10.1,3163.0,4.0,2.0,2.0,608.0,,,Glen Eira,-37.89106,145.04675,Southern Metropolitan,7822.0
11815,Burwood,4 Bennett St,3,h,1390000.0,S,Fletchers,3/12/2016,11.7,3125.0,3.0,1.0,2.0,697.0,,,Whitehorse,-37.851,145.1169,Southern Metropolitan,5678.0
11816,South Yarra,37 Grosvenor St,3,h,1810000.0,S,hockingstuart,18/06/2016,3.3,3141.0,3.0,1.0,1.0,211.0,18.0,1906.0,Stonnington,-37.8442,144.9928,Southern Metropolitan,14887.0
11817,Reservoir,21 Hughes Pde,3,h,758000.0,S,Barry,3/09/2017,12.0,3073.0,3.0,1.0,2.0,558.0,,,,-37.69968,145.0054,Northern Metropolitan,21650.0
11818,Noble Park,21 Conley St,3,h,660000.0,S,Leyton,24/06/2017,22.7,3174.0,3.0,1.0,2.0,550.0,112.0,1960.0,Greater Dandenong,-37.98298,145.17932,South-Eastern Metropolitan,11806.0
11819,Essendon,3 Crisp St,5,h,1652000.0,S,Brad,20/05/2017,8.0,3040.0,5.0,2.0,1.0,697.0,196.0,1920.0,Moonee Valley,-37.7459,144.9159,Western Metropolitan,9264.0
11820,Moonee Ponds,36 Primrose St,3,h,1065000.0,S,McDonald,10/12/2016,6.9,3039.0,3.0,1.0,1.0,395.0,,,Moonee Valley,-37.7593,144.9276,Western Metropolitan,6232.0
11821,Fitzroy North,24 Apperley St,2,h,1055000.0,S,Harrington,10/12/2016,3.5,3068.0,2.0,1.0,0.0,122.0,,,Yarra,-37.7818,144.9863,Northern Metropolitan,6244.0
11822,Hawthorn,12 Morang Rd,3,h,1980000.0,S,Jellis,27/11/2016,4.6,3122.0,3.0,2.0,1.0,151.0,,,Boroondara,-37.8219,145.0241,Southern Metropolitan,11308.0
11823,Deepdene,4/193 Whitehorse Rd,2,h,710000.0,S,Nelson,22/07/2017,7.9,3103.0,2.0,1.0,2.0,1533.0,,,Boroondara,-37.81143,145.07108,Southern Metropolitan,892.0
11824,Carlton North,173 MacPherson St,2,h,1301000.0,S,Nelson,10/12/2016,3.2,3054.0,2.0,1.0,0.0,133.0,,,Yarra,-37.786,144.9704,Northern Metropolitan,3106.0
11825,Altona North,25 Allan St,4,h,875000.0,SP,Jas,8/10/2016,11.1,3025.0,3.0,1.0,4.0,559.0,169.0,1965.0,Hobsons Bay,-37.8448,144.8529,Western Metropolitan,5132.0
11826,Yarraville,17 Adeney St,3,h,982500.0,S,Village,15/07/2017,6.3,3013.0,3.0,2.0,2.0,444.0,122.0,1945.0,Maribyrnong,-37.81662,144.866,Western Metropolitan,6543.0
11827,Sunshine West,109A David Dr,1,h,280000.0,SP,Jas,19/11/2016,13.5,3020.0,1.0,1.0,2.0,0.0,45.0,2009.0,Brimbank,-37.7913,144.7889,Western Metropolitan,6763.0
11828,Oakleigh South,15 Yarra Ct,4,h,1126000.0,S,Buxton,28/08/2016,14.7,3167.0,4.0,2.0,2.0,530.0,242.0,1980.0,Kingston,-37.935,145.083,South-Eastern Metropolitan,3692.0
11829,Rosanna,3/25 Ellesmere Pde,3,t,710000.0,S,Buckingham,30/07/2016,11.4,3084.0,3.0,1.0,1.0,174.0,,,Banyule,-37.7404,145.0648,Eastern Metropolitan,3540.0
11830,Glenroy,4/39 Clovelly Av,2,u,493000.0,S,Biggin,22/07/2017,11.2,3046.0,2.0,1.0,2.0,201.0,201.0,2000.0,Moreland,-37.70691,144.90934,Northern Metropolitan,8870.0
11831,Thornbury,4 Kelvin Gr,2,h,944000.0,SP,Barry,12/06/2016,6.5,3071.0,2.0,1.0,1.0,185.0,78.0,1900.0,Darebin,-37.76300000000001,145.0025,Northern Metropolitan,8870.0
11832,Eltham,1/44 Arthur St,2,u,540000.0,VB,Buckingham,15/07/2017,18.0,3095.0,2.0,1.0,1.0,132.0,,,Nillumbik,-37.71513,145.15323999999995,Eastern Metropolitan,6990.0
11833,Hawthorn East,61 Roseberry St,3,h,1625000.0,SP,Marshall,28/05/2016,7.5,3123.0,3.0,2.0,1.0,255.0,115.0,1890.0,Boroondara,-37.8266,145.0493,Southern Metropolitan,6482.0
11834,Fawkner,3 Brian St,3,h,625000.0,S,Brad,10/12/2016,12.4,3060.0,3.0,1.0,2.0,585.0,88.0,1960.0,Moreland,-37.695,144.9676,Northern Metropolitan,5070.0
